Games Played,Player Hand,Dealer Hand,Win/Loss ($),Count
246,17,18,-10,-0.13
247,17,17,0,0.0
248,19,19,0,-1.106
249,12,19,-10,-1.106
250,12,22,10,0.545
251,21,13,15.0,0.275
252,18,22,10,0.42
253,23,19,-10,0.284
254,19,18,10,0.288
255,12,21,-10,-0.291
256,20,18,10,0.0
257,13,18,-10,0.912
258,14,17,-20,1.393
259,20,17,10,0.94
260,18,23,10,1.117
261,18,25,10,1.137
262,15,22,10,0.99
263,19,23,10,1.006
264,12,21,-10,0.68
265,19,21,-10,0.691
266,17,20,-10,0.703
267,14,23,10,0.538
268,25,15,-10,0.732
269,19,26,10,0.561
270,19,17,10,0.765
271,18,20,-10,0.584
272,12,24,10,0.397
273,20,17,10,0.202
274,20,20,0,-0.617
275,18,22,10,-0.421
276,20,20,0,-1.284
277,15,22,20,-0.878
278,19,17,10,-1.339
279,22,18,-10,-1.14
280,20,19,10,-1.399
281,19,20,-10,-1.198
282,23,20,-10,-1.232
283,27,17,-10,-1.515
284,12,19,-10,-1.035
285,17,18,-10,-0.267
286,24,14,-10,-0.274
287,14,21,-10,-0.559
288,21,15,15.0,-1.143
289,27,19,-10,-1.477
290,16,23,10,-1.52
291,13,19,-20,-0.63
292,20,26,10,-1.625
293,12,21,-10,-2.333
294,19,18,10,-1.733
295,19,19,0,-1.106
296,12,19,-10,-1.106
297,22,14,-10,-1.106
298,17,23,10,-1.106
299,21,15,15.0,-1.898
300,18,24,10,-2.364
301,19,18,10,-2.457
302,14,21,-10,-2.959
303,13,19,-20,-1.333
304,21,19,20,-0.937
305,18,17,10,-0.491
306,17,25,10,-0.127
307,17,19,-10,0.0
308,11,21,-10,-0.129
309,21,19,15.0,-0.523
310,20,24,10,-0.531
311,21,21,0,-0.269
312,19,18,10,-0.409
313,14,26,10,-0.139
314,21,18,20,0.141
315,22,17,-10,0.143
316,20,18,10,0.0
317,23,9,-10,0.0
318,23,19,-10,0.149
319,17,23,10,0.305
320,14,22,10,0.464
321,14,20,-10,0.628
322,12,19,-10,0.798
323,19,24,10,1.141
324,19,19,0,1.159
325,20,17,10,0.839
326,14,25,10,0.682
327,18,26,10,0.696
328,12,18,-20,0.177
329,13,18,-20,0.177
330,17,17,0,0.181
331,14,20,-10,0.922
332,14,25,10,1.319
333,20,20,0,0.959
334,21,16,15.0,0.584
335,19,24,10,0.4
336,17,24,10,0.819
337,18,22,10,1.258
338,18,21,-10,0.639
339,21,19,10,0.878
340,17,17,0,0.67
341,23,9,-10,0.912
342,17,18,-10,0.933
343,18,18,0,1.438
344,23,13,-10,1.972
345,12,20,-10,2.272
346,20,24,10,1.552
347,16,24,10,1.327
348,12,20,-10,1.361
349,21,21,0,0.278
350,19,17,10,0.286
351,15,25,10,0.591
352,12,23,10,0.918
353,20,19,10,0.945
354,17,21,-10,0.0
355,19,21,-10,-0.333
356,19,18,10,-0.344
357,19,17,10,0.359
358,25,17,-10,0.371
359,21,20,10,0.388
360,20,20,0,-1.2
361,13,17,-10,-0.832
362,13,20,-10,0.0
363,12,26,10,0.0
364,20,22,10,0.0
365,18,19,-10,0.127
366,20,21,-10,-0.383
367,22,11,-10,-0.259
368,18,19,-10,-0.393
369,17,18,-10,0.133
370,17,20,-10,-0.269
371,19,20,-10,-0.272
372,17,20,-10,-0.688
373,25,13,-10,-0.561
374,20,21,-10,-0.71
375,21,17,15.0,-1.006
376,12,26,20,-1.169
377,18,18,0,-1.185
378,18,19,-10,-1.052
379,20,17,10,-0.918
380,24,19,-10,-0.778
381,20,19,10,-0.793
382,14,18,-10,-0.807
383,18,21,-10,-1.308
384,12,22,10,-0.669
385,19,19,0,-1.016
386,24,13,-10,-1.033
387,20,19,10,-1.57
388,15,20,-20,-1.42
389,17,18,-10,-0.903
390,13,23,10,-0.919
391,19,21,-10,-0.377
392,16,21,-10,-0.384
393,20,17,10,-0.974
394,21,20,15.0,-1.779
395,19,26,10,-2.217
396,20,25,10,-2.877
397,19,20,-10,-2.737
398,18,17,10,-2.373
399,12,19,-10,-1.983
400,20,23,10,-2.476
401,15,19,-10,-2.554
402,17,19,-10,-2.554
403,17,23,10,-2.385
404,16,26,20,-1.972
405,14,18,-10,-1.015
406,21,17,20,-1.3
407,14,22,10,-1.6
408,17,24,10,-1.376
409,18,19,-10,-1.413
410,17,18,-10,-1.162
411,20,19,10,-2.08
412,20,19,10,-1.846
413,18,17,10,-1.276
414,25,20,-10,-2.304
415,12,18,-10,-2.08
416,19,20,-10,-2.167
417,17,20,-10,-1.507
418,17,18,-10,-1.173
419,14,18,-10,0.409
420,8,21,-10,0.423
421,20,19,10,-0.874
422,18,21,-10,0.0
423,19,24,10,0.486
424,18,20,-10,-0.127
425,20,24,10,-0.256
426,17,17,0,-0.259
427,13,19,-10,-0.131
428,16,19,-20,0.133
429,19,17,10,0.269
430,18,19,-10,0.0
431,16,19,-20,3.095
432,18,19,-20,3.095
433,18,20,-10,0.0
434,19,17,10,0.429
435,18,19,-10,0.144
436,27,20,20,0.739
437,18,26,10,0.751
438,12,18,-10,1.376
439,19,18,10,1.397
440,12,17,-10,2.055
441,24,14,-10,2.086
442,22,18,-10,2.119
443,12,21,-10,1.816
444,12,23,10,2.013
445,20,18,10,1.699
446,18,18,0,1.9
447,17,26,10,1.763
448,15,24,10,1.793
449,20,21,-10,1.46
450,20,23,10,1.677
451,20,19,10,1.714
452,19,24,20,2.346
453,20,17,10,3.212
454,16,19,-20,3.095
455,18,19,-20,3.095
456,13,25,10,3.095
457,13,25,10,3.095
458,24,20,-10,2.959
459,19,20,-10,2.805
460,22,10,-10,3.085
461,18,18,0,3.152
462,13,26,10,3.467
463,23,17,-10,3.309
464,10,21,-10,3.13
465,14,20,-10,3.204
466,17,19,-10,3.282
467,20,17,10,2.574
468,20,19,10,2.376
469,20,20,0,1.896
