Games Played,Player Hand,Dealer Hand,Win/Loss ($),Count
240,19,20,-5,-0.263
241,25,13,-5,-0.267
242,17,18,-5,-0.404
243,16,17,-5,-0.273
244,24,18,-5,-0.415
245,19,19,0,0.0
246,20,18,5,0.0
247,14,20,-5,0.581
248,20,20,0,0.0
249,18,17,5,-0.15
250,17,17,0,-0.15
251,16,17,-5,0.0
252,24,20,-5,-0.155
253,21,21,0,-0.158
254,20,21,-5,-0.798
255,18,20,-5,-1.292
256,20,27,5,-1.646
257,16,21,-5,-1.505
258,23,18,-5,-1.869
259,20,25,5,-2.246
260,18,21,-5,-2.284
261,17,20,-5,-2.323
262,13,24,5,-2.545
263,20,20,0,-3.319
264,17,18,-5,-3.191
265,21,23,10,-3.262
266,20,23,5,-3.336
267,20,17,5,-3.413
268,15,23,5,-3.083
269,18,20,-5,-2.737
270,19,22,10,-1.95
271,25,13,-5,-1.785
272,23,11,-5,-1.368
273,20,21,-5,-2.321
274,15,24,5,-1.67
275,21,11,7.5,-1.944
276,19,17,5,-1.005
277,9,21,-5,-1.025
278,21,18,7.5,-1.829
279,21,15,7.5,-2.4
280,20,17,5,-2.201
281,17,21,-5,-1.978
282,24,14,-5,-1.461
283,16,21,-5,-2.092
284,16,23,5,-2.462
285,18,17,5,-2.836
286,17,20,-5,-2.925
287,20,21,-5,-3.69
288,21,20,10,-3.162
289,16,24,5,-3.636
290,26,11,-5,-3.768
291,15,21,-5,-4.657
292,18,18,0,-4.062
293,21,18,10,-3.41
294,18,23,10,-3.138
295,21,21,0,-2.836
296,17,18,-5,-2.476
297,18,19,-5,0.0
298,21,19,7.5,-0.383
299,12,18,-10,-0.13
300,12,24,5,-0.263
301,20,18,5,-0.531
302,16,25,5,-0.672
303,26,15,-5,-0.817
304,23,15,-5,-0.69
305,13,18,-5,-0.559
306,19,19,0,-0.568
307,25,19,10,-0.578
308,17,20,-5,-0.876
309,19,23,5,-0.743
310,25,20,-5,-1.206
311,20,23,5,-1.529
312,21,19,5,-1.401
313,10,21,-5,-1.576
314,16,17,-5,-1.44
315,20,17,5,-1.462
316,25,20,-5,-1.822
317,19,17,5,-1.519
318,20,17,5,-1.545
319,22,10,-5,-1.396
320,21,20,10,-1.775
321,21,17,7.5,-2.339
322,22,12,-5,-2.389
323,17,18,-5,-2.245
324,14,23,5,-2.476
325,18,20,-5,-3.093
326,21,20,10,-3.545
327,24,14,-5,-3.225
328,13,20,-5,-3.083
329,16,18,-10,-3.158
330,18,19,-5,-3.008
331,18,21,-5,-3.072
332,17,19,-5,-2.701
333,16,22,5,-1.625
334,13,23,5,-0.959
335,13,20,-5,-0.246
336,18,20,-5,0.0
337,19,19,0,0.0
338,16,20,-10,0.268
339,21,17,5,0.275
340,18,17,10,0.852
341,23,16,-5,0.584
342,20,22,5,0.601
343,20,19,5,-0.308
344,23,19,-5,-0.319
345,25,20,-5,-1.316
346,18,20,-5,-1.699
347,26,12,-5,-1.415
348,20,20,0,-1.831
349,12,26,5,-2.277
350,22,19,-5,-2.364
351,15,25,5,-2.866
352,26,18,-5,-3.438
353,8,21,-5,-3.556
354,18,17,5,-2.342
355,22,15,-5,-1.472
356,21,17,5,0.509
357,20,20,0,0.774
358,20,21,-5,0.658
359,14,22,5,0.936
360,12,22,5,0.948
361,22,10,-5,-2.653
362,21,19,5,-2.653
363,14,17,-5,2.12
364,22,12,-5,2.155
365,20,17,5,1.748
366,20,26,5,1.477
367,13,21,-5,1.648
368,20,19,5,1.213
369,18,21,-5,1.077
370,25,18,-5,0.937
371,25,20,-5,0.476
372,14,18,-5,0.805
373,17,19,-10,1.312
374,22,20,-5,1.167
375,18,20,-5,1.016
376,20,18,5,0.515
377,18,20,-5,0.0
378,25,20,-5,-0.531
379,20,20,0,-0.72
380,14,23,10,-0.367
381,21,20,7.5,-1.118
382,19,20,-5,-1.702
383,25,20,-5,-2.311
384,13,21,-5,-1.773
385,21,20,7.5,-2.6
386,22,10,-5,-2.653
387,21,19,5,-2.653
388,19,17,5,-2.653
389,15,17,-5,-2.653
390,20,20,0,-2.726
391,21,25,5,-2.793
392,15,23,5,-3.072
393,23,20,-5,-3.81
394,12,21,-5,-3.665
395,16,19,-10,-3.279
396,15,24,5,-3.611
397,21,20,10,-3.219
398,20,19,5,-3.298
399,22,10,-5,-2.653
400,21,19,5,-2.653
401,19,17,5,-2.653
402,15,17,-5,-2.653
403,13,25,10,-2.653
404,16,25,5,-2.653
405,13,21,-5,-2.189
406,20,19,5,-1.978
407,21,25,10,-1.469
408,18,17,5,-1.512
409,17,17,0,-1.246
410,17,21,-5,-0.646
411,26,13,-5,-0.667
412,19,24,5,-0.693
413,18,17,5,-1.425
414,16,25,5,-1.114
415,25,20,-5,-2.311
416,22,10,-5,-1.6
417,12,21,-5,-0.832
418,18,22,5,-1.3
419,22,11,-5,-0.904
420,10,21,-5,-1.405
421,19,17,10,0.38
422,21,22,10,0.644
423,20,19,5,0.784
424,14,26,5,0.662
425,22,11,-5,0.67
426,14,18,-5,0.815
427,14,22,5,1.521
428,21,19,5,1.827
429,21,17,5,1.852
430,20,25,5,1.444
431,13,17,-5,1.566
432,13,17,-5,1.566
433,15,17,-10,1.943
434,26,14,-5,1.819
435,18,20,-5,1.381
436,13,17,-5,1.566
437,13,17,-5,1.566
438,12,17,-5,1.566
439,12,17,-5,1.566
440,19,20,-5,1.59
441,17,24,5,1.292
442,21,17,5,1.312
443,18,20,-5,1.167
444,17,18,-10,1.699
445,17,23,5,1.382
446,26,17,-5,1.41
447,19,20,-5,1.255
448,17,17,0,1.091
449,17,18,-5,0.922
450,14,19,-10,2.08
451,18,20,-5,2.91
452,21,14,7.5,2.758
453,17,18,-5,2.4
454,22,20,-5,2.039
455,20,21,-5,2.297
456,20,24,5,2.354
457,26,14,-5,2.403
458,12,19,-10,2.69
459,12,21,-5,1.825
460,20,24,5,1.166
461,18,19,-5,1.926
462,16,22,5,2.476
463,12,20,-10,2.029
464,12,22,5,1.82
465,22,11,-5,3.233
466,15,19,-10,3.596
467,10,21,-5,3.391
468,20,25,5,2.921
469,13,21,-5,3.306
470,17,26,5,3.095
471,26,18,-5,2.552
472,15,24,5,2.304
473,21,9,7.5,2.364
474,12,26,5,2.094
475,26,17,-5,1.444
476,18,23,5,1.122
477,23,20,-5,0.782
478,17,17,0,0.403
479,14,23,5,0.419
480,20,20,0,-0.867
481,20,19,5,-2.241
482,20,17,10,-1.891
483,18,26,5,-2.0
484,16,23,5,-0.127
485,21,17,10,-0.128
486,19,20,-5,0.0
487,19,18,5,-0.131
488,13,22,5,-0.133
489,21,19,5,0.271
490,18,18,0,0.275
491,24,20,-5,0.139
492,21,20,10,0.283
493,16,26,5,0.144
494,19,20,-5,0.146
495,20,23,5,0.148
496,15,19,-5,0.301
497,18,20,-5,0.305
498,23,10,-5,0.31
499,26,18,10,0.315
500,20,18,5,-0.16
501,21,20,10,0.162
502,21,21,0,-0.498
503,21,21,0,-0.498
504,18,20,-5,0.0
505,20,22,5,-0.173
506,19,17,5,-0.176
507,14,17,-5,1.083
508,17,17,0,1.102
509,20,20,0,0.373
510,15,22,5,0.381
511,21,16,7.5,0.0
512,15,24,5,0.0
513,19,18,5,0.0
514,12,21,-5,0.206
515,13,26,5,0.423
516,16,18,-5,0.647
517,12,25,5,0.661
518,20,18,5,0.0
519,12,22,5,0.229
520,12,21,-5,-0.233
521,19,20,-5,-0.95
522,17,22,5,-0.732
523,20,22,5,-1.5
524,16,17,-5,-1.281
525,26,19,-5,-1.838
526,17,20,-5,-1.095
527,20,19,5,-1.957
528,20,17,5,-1.743
529,12,24,5,-1.814
530,13,24,5,-1.868
531,19,20,-5,-0.975
532,24,18,-5,-1.359
533,19,18,5,0.0
534,13,18,-5,1.099
535,18,18,0,0.377
536,15,21,-5,-0.388
537,25,20,-5,-1.612
538,19,21,-5,-2.097
539,26,17,-5,-3.059
540,25,17,-5,-3.649
541,21,22,10,-2.43
542,24,17,-5,-0.127
543,19,18,5,-0.384
544,16,21,-5,0.891
545,17,21,-5,0.891
546,18,20,-5,-0.396
547,25,15,-5,-0.134
548,17,18,-5,0.273
549,16,19,-5,0.277
550,22,9,-5,0.703
551,18,20,-5,0.714
552,17,17,0,0.578
553,16,21,-5,0.891
554,17,21,-5,0.891
555,17,24,10,0.891
556,20,24,5,0.891
557,13,22,5,0.756
558,19,25,10,0.769
559,22,20,-5,0.312
560,20,23,5,-0.159
561,15,22,5,-0.322
562,12,17,-5,-0.326
563,14,19,-5,0.166
564,18,19,-5,-0.168
565,25,20,-5,-0.343
566,21,23,5,0.353
567,19,20,-5,1.083
568,13,19,-5,1.102
569,20,18,5,0.559
570,18,25,5,0.762
571,20,17,5,0.582
572,12,18,-5,0.992
573,20,26,5,0.405
574,15,26,5,0.206
575,20,25,5,-0.211
576,19,20,-5,0.0
577,20,17,5,-0.444
578,21,14,7.5,-0.904
579,20,18,5,-1.156
580,16,23,5,-1.418
581,20,22,5,-1.221
582,16,26,5,-1.5
583,13,23,5,-1.287
584,23,11,-5,-1.32
585,15,23,5,-1.625
586,21,25,5,-1.957
587,13,22,5,-2.011
588,14,24,5,-1.189
589,20,21,-5,-1.529
590,20,20,0,-1.576
591,26,14,-5,-0.981
592,16,23,5,-0.68
593,20,24,5,-1.405
594,19,23,5,-1.099
595,20,17,5,0.0
596,16,21,-5,-0.788
597,21,21,0,-2.438
598,14,25,5,-2.537
599,12,17,-5,-2.203
600,25,13,-5,-1.841
601,19,17,5,-2.385
602,23,15,-5,-2.5
603,16,19,-5,0.127
604,18,20,-5,0.257
605,17,17,0,0.26
606,25,14,-5,0.263
607,16,18,-10,0.401
608,13,18,-5,0.677
609,18,19,-5,0.686
610,14,19,-5,1.255
611,19,22,5,1.417
612,17,20,-5,1.003
613,25,17,-5,0.726
614,23,19,-5,0.0
615,18,19,-5,0.0
616,18,17,5,0.754
617,19,17,5,0.918
618,12,22,5,0.776
619,15,26,5,0.63
620,20,20,0,0.48
621,20,21,-5,-0.162
622,12,21,-5,-0.165
623,21,20,7.5,-0.833
624,17,18,-5,-0.51
625,22,11,-5,-0.347
626,16,22,5,-0.354
627,26,18,-5,-0.361
628,23,19,-5,0.0
629,18,19,-5,0.0
630,21,19,10,0.0
631,18,19,-10,0.0
632,15,23,5,-0.754
633,23,19,-5,0.0
634,18,19,-5,0.0
635,21,19,10,0.0
636,18,19,-10,0.0
637,21,17,5,0.0
638,21,17,5,0.0
639,18,17,5,0.0
640,19,25,5,-0.402
641,13,22,5,-0.409
642,13,19,-5,0.0
643,20,17,5,-0.637
644,12,22,5,-0.65
645,21,17,7.5,-1.322
646,21,18,7.5,-2.017
647,15,24,5,-2.291
648,18,21,-5,-2.118
649,23,20,-5,-2.889
650,20,20,0,-1.5
651,13,18,-5,-1.025
652,17,20,-5,-1.829
653,25,18,-5,-2.144
654,17,19,-5,-1.106
655,20,19,5,-1.137
656,24,20,-5,-2.045
657,20,20,0,-2.104
658,20,25,5,-1.88
659,15,25,5,-1.938
660,20,26,5,-2.348
661,24,15,-5,-2.427
662,19,23,5,-2.528
663,25,12,-5,-2.245
664,17,19,-5,-2.328
665,26,18,-5,-3.225
666,14,22,5,-2.557
667,20,19,5,-3.111
668,17,20,-5,-2.342
669,25,18,-5,-2.943
670,17,21,-5,-0.379
671,23,26,10,-0.64
672,21,19,5,-0.648
673,12,17,-5,-0.655
674,20,25,5,-1.061
675,19,21,-5,-1.209
676,20,18,5,-0.955
677,23,11,-5,-0.83
678,19,20,-5,-1.258
679,23,9,-5,-1.275
680,15,25,5,-1.014
681,19,20,-5,-0.443
682,19,23,5,0.302
683,17,21,-5,0.615
684,22,20,-5,0.468
685,17,18,-5,0.476
686,20,22,5,0.161
687,19,21,-5,0.164
688,15,21,-5,0.0
689,19,20,-5,-0.503
690,17,17,0,-0.68
691,13,21,-5,-1.033
692,16,21,-5,-1.051
693,20,21,-5,-0.715
694,16,19,-5,-0.545
695,17,23,5,-0.559
696,20,17,5,-0.945
697,12,22,10,-0.773
698,23,16,-5,-0.788
699,20,20,0,-1.205
700,21,11,7.5,-1.427
701,20,18,5,-1.456
702,24,18,-5,-1.91
703,16,25,5,-1.958
704,24,14,-5,-1.778
705,20,24,5,-2.271
706,22,17,-5,-2.798
707,12,17,-5,-2.157
708,14,25,5,-1.725
709,19,22,5,-2.019
710,19,26,5,-2.587
711,12,26,5,-2.4
712,19,25,5,-2.476
713,13,19,-5,-2.543
714,20,17,10,-2.337
715,21,17,5,-2.116
716,18,17,10,-0.315
717,17,17,0,0.325
718,21,23,5,0.68
719,21,14,7.5,0.0
720,25,19,-5,0.364
721,14,22,5,1.139
722,20,18,5,1.985
723,21,20,5,1.651
724,18,24,5,3.059
725,15,23,5,5.107
726,19,26,5,4.374
727,20,19,5,-0.127
728,20,17,5,-0.256
729,14,22,5,-0.389
730,20,25,5,-0.263
731,19,26,5,-0.533
732,20,22,5,-0.81
733,20,19,5,-0.821
734,13,24,5,-0.971
735,14,21,-5,-1.261
736,18,19,-5,-0.997
737,17,23,5,-1.3
738,24,14,-5,-1.172
739,21,5,7.5,-1.185
740,24,20,-5,-1.653
741,21,19,7.5,-2.129
742,17,19,-5,-4.407
743,18,19,-5,-4.407
744,21,21,0,-3.133
745,20,20,0,-3.646
746,20,18,5,-3.078
747,23,12,-5,-3.127
748,17,23,5,-2.852
749,20,17,5,-3.069
750,13,17,-10,-2.261
751,17,23,5,-2.476
752,18,23,5,-2.167
753,23,17,-5,-2.572
754,19,20,-5,-2.619
755,12,21,-5,-2.294
756,21,13,7.5,-2.716
757,12,20,-5,-2.373
758,17,17,0,-2.023
759,20,20,0,-1.865
760,18,17,5,-1.066
761,23,18,-5,-0.874
762,17,20,-5,-0.448
763,12,26,5,-0.458
764,17,18,-10,0.235
765,16,23,10,0.486
766,20,23,5,-0.249
767,20,21,-5,0.259
768,16,21,-5,0.265
769,26,19,-5,-0.547
770,18,19,-5,0.283
771,23,20,-5,-0.581
772,20,19,5,-0.897
773,20,23,5,-0.619
774,19,20,-5,-1.585
775,18,17,5,-2.275
776,24,11,-5,-2.013
777,23,15,-5,-2.08
778,17,20,-5,-3.205
779,22,14,-5,-2.95
780,19,26,5,-3.081
781,19,24,5,-4.0
782,17,19,-5,-4.16
783,17,19,-5,-4.407
784,18,19,-5,-4.407
785,21,17,10,-4.407
786,17,17,0,-4.407
787,21,18,5,-3.748
788,23,17,-5,-4.415
789,19,17,5,-0.252
790,19,20,-5,-0.511
791,18,25,5,-0.13
792,12,22,5,-0.132
793,20,20,0,-0.667
794,18,19,-5,-0.675
795,13,25,5,-0.412
796,20,22,5,-0.695
797,24,12,-5,-0.705
798,17,20,-10,-0.714
799,19,17,5,-0.581
800,20,19,5,-0.884
801,23,16,-5,-1.046
802,15,17,-10,-1.566
803,21,17,10,-1.566
804,21,20,7.5,-1.543
805,26,12,-5,-1.257
806,13,19,-10,-0.64
807,24,18,-5,-0.327
808,20,21,-5,-0.167
809,21,20,7.5,-0.844
810,15,17,-10,-1.566
811,21,17,10,-1.566
812,19,19,0,-1.566
813,18,19,-5,-1.566
814,20,20,0,-0.529
815,18,20,-5,-0.717
816,14,21,-5,-0.547
817,17,22,5,-0.929
818,22,13,-5,-0.945
819,12,24,5,-0.773
820,19,17,5,-0.198
821,20,19,5,-0.803
822,13,18,-5,-0.409
823,17,23,5,-0.835
824,23,20,-5,-1.279
825,22,17,-5,-0.874
826,17,19,-5,-0.893
827,13,22,5,-0.912
828,13,27,10,-0.703
829,23,9,-5,-0.719
830,16,21,-5,-0.736
831,13,17,-5,0.0
832,20,24,5,-0.776
833,13,25,5,-0.267
834,20,20,0,-0.821
835,14,17,-5,-0.562
836,22,19,-5,-1.156
837,21,24,5,-0.897
838,15,17,-10,-1.566
839,21,17,10,-1.566
840,19,19,0,-1.566
841,18,19,-5,-1.566
842,16,25,10,-1.566
843,12,25,10,-1.566
844,12,19,-5,-0.329
845,16,24,10,-1.026
846,17,23,5,-0.712
847,20,21,-5,-1.475
848,19,19,0,-0.385
849,15,23,5,0.806
850,12,18,-5,1.677
851,21,15,7.5,1.3
852,24,16,-5,0.904
853,25,19,-5,0.473
854,18,19,-5,-0.491
855,15,21,-5,-0.126
856,17,17,0,-0.382
857,22,16,-5,-0.388
858,14,23,5,-0.524
859,18,26,5,-0.796
860,18,17,5,-0.806
861,21,15,7.5,-1.086
862,20,18,5,-1.238
863,24,17,-5,-1.118
864,20,26,5,-1.417
865,16,22,10,-0.867
866,20,17,5,-0.588
867,15,26,5,-0.598
868,13,22,5,-0.304
869,17,19,-5,-0.154
870,17,23,5,-0.157
871,23,17,10,0.0
872,25,11,-5,0.162
873,28,17,10,0.332
874,28,22,10,0.34
875,19,18,5,0.346
876,19,21,-5,0.705
877,18,20,-5,0.538
878,17,20,-5,0.547
879,13,20,-10,0.557
880,19,20,-5,0.378
881,25,11,-5,0.385
882,12,26,5,0.196
883,24,20,-5,0.0
884,15,20,-5,0.0
885,19,25,5,-0.209
886,20,20,0,-1.061
887,25,19,-5,-1.517
888,24,20,-5,-1.991
889,20,20,0,-2.035
890,17,19,-5,-2.08
891,20,21,-5,-2.6
892,13,23,5,-2.187
893,21,25,5,-2.5
894,15,22,5,-2.352
895,20,22,5,-2.352
896,14,24,5,-1.886
